kanji;strokes;grade;freq;jlpt_old;jlpt_new;meanings;readings_on;readings_kun;wk_level;wk_meanings;wk_readings_on;wk_readings_kun;wk_radicals;fr_meanings
議;20;4.0;25.0;2.0;3.0;[Deliberation, Consultation, Debate, Consideration];[ぎ];[];20;[Deliberation, Discussion];[ぎ];[];[Say, Righteousness];débat, délibération, proposition
後;9;2.0;26.0;4.0;5.0;[Behind, Back, Later];[ご, こう];[のち, うし.ろ, うしろ, あと, おく.れる];6;[Behind, After, Back, Rear];[ご, こう];[うし, あと, のち];[Loiter, Poop, Winter];derrière, après
前;9;2.0;27.0;4.0;5.0;[In Front, Before];[ぜん];[まえ, -まえ];6;[Front, Before];[ぜん];[まえ];[Horns, Ground, Moon, Knife];devant, avant, antérieur
民;5;4.0;28.0;3.0;3.0;[People, Nation, Subjects];[みん];[たみ];7;[Peoples, People, Nation];[みん];[たみ];[Mouth, Clan];peuple, foule
生;5;1.0;29.0;4.0;5.0;[Life, Genuine, Birth];[せい, しょう];[い.きる, い.かす, い.ける, う.まれる, うま.れる, う.まれ, うまれ, う.む, お.う, は.える, は.やす, き, なま, なま-, な.る, な.す, む.す, -う];3;[Life];[せい, しょう];[い, なま, う, は, き];[Life];naître, vivre, arranger les fleurs, porter un enfant
連;10;4.0;30.0;2.0;3.0;[Take Along, Lead, Join, Connect, Party, Gang, Clique];[れん];[つら.なる, つら.ねる, つ.れる, -づ.れ];19;[Take Along];[れん];[つ, つら];[Scooter, Car];être relié à, se joindre à accompagner
発;9;3.0;32.0;3.0;4.0;[Departure, Discharge, Publish, Emit, Start From, Disclose, Counter For Gunshots];[はつ, ほつ];[た.つ, あば.く, おこ.る, つか.わす, はな.つ];9;[Departure];[はつ];[];[Tent, Lantern];émettre, départ, ouverture, donner naissance
間;12;2.0;33.0;4.0;5.0;[Interval, Space];[かん, けん];[あいだ, ま, あい];8;[Interval, Interval Of Time, Time Interval];[かん, けん];[あいだ, ま];[Gate, Sun];intervalle, espace, durée
対;7;3.0;34.0;2.0;3.0;[Vis-a-vis, Opposite, Even, Equal, Versus, Anti-, Compare];[たい, つい];[あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う];8;[Versus, Opposite];[たい];[];[Writing, Measurement];opposé, anti-, paire
上;3;1.0;35.0;4.0;5.0;[Above, Up];[じょう, しょう, しゃん];[うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る];1;[Above, Up, Over];[じょう];[うえ, あ, のぼ, うわ, かみ];[Toe, Ground];le dessus, le haut se lever, monter
部;11;3.0;36.0;2.0;3.0;[Section, Bureau, Dept, Class, Copy, Part, Portion, Counter For Copies Of A Newspaper Or Magazine];[ぶ];[-べ];9;[Part, Department, Club];[ぶ];[へ];[Clown, Building];section, partie
東;8;2.0;37.0;4.0;5.0;[East];[とう];[ひがし];6;[East];[とう];[ひがし];[Tree, Sun];l'Est
者;8;3.0;38.0;3.0;4.0;[Someone, Person];[しゃ];[もの];8;[Someone, Somebody];[しゃ];[もの];[Coffin, Sun];personne, gens
党;10;6.0;39.0;2.0;2.0;[Party, Faction, Clique];[とう];[なかま, むら];32;[Group];[とう];[];[Viking, Older Brother];parti, faction, clan
地;6;2.0;40.0;3.0;4.0;[Ground, Earth];[ち, じ];[];6;[Earth, Ground];[ち, じ];[];[Dirt, Alligator];terrain, sol
合;6;2.0;41.0;3.0;3.0;[Fit, Suit, Join, 0.1];[ごう, がっ, かっ];[あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる];12;[Suit, Fit, Join];[ごう, がっ];[あ, あい];[Suit];s'accorder, se combiner, s'adapter
市;5;2.0;42.0;3.0;3.0;[Market, City, Town];[し];[いち];3;[City];[し];[いち];[Lid, Towel];marché cité, ville (de taille moyenne)
業;13;3.0;43.0;3.0;4.0;[Business, Vocation, Arts, Performance];[ぎょう, ごう];[わざ];10;[Business];[ぎょう];[];[Spikes, Sheep, Fins];action, occupation, profession
内;4;2.0;44.0;2.0;3.0;[Inside, Within, Between, Among, House, Home];[ない, だい];[うち];3;[Inside, Within];[ない];[うち];[Head, Person];intérieur, dedans, parmi
相;9;3.0;45.0;2.0;3.0;[Inter-, Mutual, Together, Each Other, Minister Of State, Councillor, Aspect, Phase, Physiognomy];[そう, しょう];[あい-];9;[Mutual];[そう, しょう];[あい];[Tree, Eye];réciproque, ensemble, mutuel aspect, réciproque, mutuel ministre
方;4;2.0;46.0;3.0;4.0;[Direction, Person, Alternative];[ほう];[かた, -かた, -がた];3;[Direction, Way];[ほう];[かた];[Direction];direction, orientation, façon, manière une personne (degré plus)
定;8;3.0;48.0;2.0;3.0;[Determine, Fix, Establish, Decide];[てい, じょう];[さだ.める, さだ.まる, さだ.か];9;[Determine];[てい, じょう];[さだ];[Roof, Correct];fixer, décider, régler être fixé certain, certainement
今;4;2.0;49.0;4.0;5.0;[Now];[こん, きん];[いま];3;[Now];[こん];[いま];[Now];maintenant présent, actuel
回;6;2.0;50.0;3.0;3.0;[-times, Round, Game, Revolve, Counter For Occurrences];[かい, え];[まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える];5;[Times, Revolve];[かい];[まわ];[Mouth];tourner, pivoter tour, fois (compteur d'occurence) faire tourner, faire pivoter
新;13;2.0;51.0;4.0;4.0;[New];[しん];[あたら.しい, あら.た, あら-, にい-];9;[New];[しん];[あたら, あら, にい];[Stand, Tree, Axe];nouveau, récent
場;12;2.0;52.0;3.0;4.0;[Location, Place];[じょう, ちょう];[ば];8;[Location, Place];[じょう];[ば];[Dirt, Easy];lieu, endroit, emplacement
金;8;1.0;53.0;4.0;5.0;[Gold];[きん, こん, ごん];[かね, かな-, -がね];5;[Gold];[きん];[かね];[Gold];métal, or, argent (monnaie)
員;10;3.0;54.0;3.0;4.0;[Employee, Member, Number, The One In Charge];[いん];[];12;[Member];[いん];[];[Mouth, Shellfish];membre
入;2;1.0;56.0;4.0;5.0;[Enter, Insert];[にゅう, じゅ];[い.る, -い.る, -い.り, い.れる, -い.れ, はい.る];1;[Enter];[にゅう];[はい, い];[Enter];entrer, pénétrer, s'introduire faire entrer, mettre
選;15;4.0;57.0;2.0;3.0;[Elect, Select, Choose, Prefer];[せん];[えら.ぶ];13;[Choose];[せん];[えら];[Scooter, Oneself, Together];choisir, trier
立;5;1.0;58.0;4.0;4.0;[Stand Up, Rise, Set Up, Erect];[りつ, りゅう, りっとる];[た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる];2;[Stand];[りつ, りゅう];[た];[Stand];se lever, se dresser, être debout lever, dresser
開;12;3.0;59.0;3.0;4.0;[Open, Unfold, Unseal];[かい];[ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける];10;[Open];[かい];[あ, ひら];[Gate, Lantern];ouvrir, établir, s'ouvrir
手;4;1.0;60.0;4.0;4.0;[Hand];[しゅ, ず];[て, て-, -て, た-];2;[Hand];[しゅ];[て];[Hand];main
米;6;2.0;61.0;2.0;3.0;[Rice, Usa, Metre];[べい, まい, めえとる];[こめ, よね];5;[Rice, America];[べい, まい];[こめ];[Rice];riz, les USA, l'Amérique
力;2;1.0;62.0;3.0;4.0;[Power, Strength, Strong, Strain, Bear Up, Exert];[りょく, りき, りい];[ちから];1;[Power, Strength];[りょく, りき];[ちから];[Power];force, puissance
問;11;3.0;64.0;3.0;4.0;[Question, Ask, Problem];[もん];[と.う, と.い, とん];13;[Problem];[もん];[と, とん];[Gate, Mouth];interroger, demander, questionner
高;10;2.0;65.0;4.0;5.0;[Tall, High, Expensive];[こう];[たか.い, たか, -だか, たか.まる, たか.める];7;[Tall, Expensive, High];[こう];[たか];[Lid, Mouth, Mustache];haut, cher, élever, hausser
代;5;3.0;66.0;3.0;4.0;[Substitute, Change, Convert, Replace, Period, Age, Counter For Decades Of Ages, Eras,, Etc., Generation, Charge, Rate, Fee],;[だい, たい];[か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ];4;[Substitute, Replace, Period, Age];[だい];[か, かわ, しろ];[Leader, Ceremony];remplacement, à la place de génération, période, prix
明;8;2.0;67.0;3.0;4.0;[Bright, Light];[めい, みょう, みん];[あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす];6;[Bright];[めい];[あ, あか, あき];[Sun, Moon];clair, lumineux
実;8;3.0;68.0;2.0;3.0;[Reality, Truth];[じつ, しつ];[み, みの.る, まこと, みの, みち.る];9;[Truth, Reality];[じつ];[み];[Roof, Spring];réel, véritable , fruit, résultat , porter ses fruits
円;4;1.0;69.0;4.0;5.0;[Circle, Yen, Round];[えん];[まる.い, まる, まど, まど.か, まろ.やか];2;[Yen, Round, Circle];[えん];[まる];[Lid, Head];yen, circulaire
関;14;4.0;70.0;2.0;3.0;[Connection, Barrier, Gateway, Involve, Concerning];[かん];[せき, -ぜき, かか.わる, からくり, かんぬき];16;[Related, Connected];[かん];[かか, せき];[Gate, Horns, Heaven];barrière, péage, porte relation
決;7;3.0;71.0;2.0;3.0;[Decide, Fix, Agree Upon, Appoint];[けつ];[き.める, -ぎ.め, き.まる, さ.く];8;[Decide, Decision];[けつ];[き];[Tsunami, Person, Hook];faire l'objet d'une décision décider
子;3;1.0;72.0;4.0;5.0;[Child, Sign Of The Rat, 11pm-1am, First Sign Of Chinese Zodiac];[し, す, つ];[こ, -こ, ね];2;[Child, Kid];[し, す];[こ];[Child];enfant, graine, jeune pousse
動;11;3.0;73.0;3.0;4.0;[Move, Motion, Change, Confusion, Shift, Shake];[どう];[うご.く, うご.かす];12;[Move];[どう];[うご];[Heavy, Power];bouger, se déplacer
京;8;2.0;74.0;3.0;4.0;[Capital, 10**16];[きょう, けい, きん];[みやこ];6;[Capital];[きょう];[みやこ];[Lid, Mouth, Small];capitale
全;6;3.0;75.0;2.0;3.0;[Whole, Entire, All, Complete, Fulfill];[ぜん];[まった.く, すべ.て];6;[All, Whole];[ぜん];[すべ, まった];[Hat, King];complètement, entièrement
目;5;1.0;76.0;4.0;4.0;[Eye, Class, Look, Insight, Experience, Care, Favor];[もく, ぼく];[め, -め, ま-];2;[Eye];[もく];[め];[Eye];oeil
表;8;3.0;77.0;2.0;3.0;[Surface, Table, Chart, Diagram];[ひょう];[おもて, -おもて, あらわ.す, あらわ.れる, あら.わす];9;[Express];[ひょう];[あらわ, おもて];[Life, Kick];montrer, exprimer, paraître
戦;13;4.0;78.0;2.0;3.0;[War, Battle, Match];[せん];[いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く];11;[War, Battle];[せん];[たたか];[Simple, Drunkard];se battre, guerre, bataille, combat
経;11;5.0;79.0;2.0;3.0;[Sutra, Longitude, Pass Thru, Expire, Warp];[けい, きょう, きん];[へ.る, た.つ, たていと, はか.る, のり];20;[Passage of Time, Pass Through, Manage];[けい];[た, へ];[Thread, Tombstone];longitude, loi, ordre des choses soutra, passer, s'écouler
通;10;2.0;80.0;3.0;4.0;[Traffic, Pass Through, Avenue, Commute, Counter For Letters, Notes,, Documents,, Etc.],;[つう, つ];[とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う];;[Pass Through];[つう];[とお, かよ];[Scooter, Mama, Task];laisser passer, pénétrer, rue, selon...
外;5;2.0;81.0;4.0;5.0;[Outside];[がい, げ];[そと, ほか, はず.す, はず.れる, と-];3;[Outside];[がい];[そと, はず];[Evening, Toe];extérieur
最;12;4.0;82.0;2.0;3.0;[Utmost, Most, Extreme];[さい, しゅ];[もっと.も, つま];10;[Most];[さい];[もっと];[Sun, Ear, Stool];le plus, préfixe de superlatif
言;7;2.0;83.0;4.0;4.0;[Say, Word];[げん, ごん];[い.う, こと];5;[Say];[げん, ごん];[い, こと];[Say];dire, s'appeler, parole, mot
氏;4;4.0;84.0;1.0;1.0;[Family Name, Surname, Clan];[し];[うじ, -うじ];7;[Family Name, Last Name, Surname];[し];[うじ];[Clan];famille, nom, M. famille, lignage
現;11;5.0;85.0;2.0;3.0;[Present, Existing, Actual];[げん];[あらわ.れる, あらわ.す, うつつ, うつ.つ];23;[Present Time, Present];[げん];[あらわ];[King, See];actuel, présent
理;11;2.0;86.0;3.0;4.0;[Logic, Arrangement, Reason, Justice, Truth];[り];[ことわり];7;[Reason];[り];[ことわり];[King, Village];raison, principe, logique
調;15;3.0;87.0;2.0;3.0;[Tune, Tone, Meter, Key (music), Writing Style, Prepare, Exorcise, Investigate, Harmonize, Mediate];[ちょう];[しら.べる, しら.べ, ととの.う, ととの.える];10;[Investigate, Tone];[ちょう];[しら];[Say, Circumference];rassembler des informations harmonie, mise en ordre
体;7;2.0;88.0;3.0;4.0;[Body, Substance, Object, Reality, Counter For Images];[たい, てい];[からだ, かたち];5;[Body];[たい];[からだ];[Leader, Book];corps, substance
化;4;3.0;89.0;2.0;3.0;[Change, Take The Form Of, Influence, Enchant, Delude, -ization];[か, け];[ば.ける, ば.かす, ふ.ける, け.する];6;[Change];[か];[ば];[Leader, Spoon];transformer, se métamorphoser, changer de forme, duper
田;5;1.0;90.0;3.0;4.0;[Rice Field, Rice Paddy];[でん];[た];2;[Rice Paddy, Rice Field, Field];[でん];[た];[Rice Paddy];rizière
当;6;2.0;91.0;2.0;3.0;[Hit, Right, Appropriate, Himself];[とう];[あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし];5;[Correct, Right, Success];[とう];[あ];[Triceratops, Wolverine];viser, toucher, destiner, mettre en contact
約;9;4.0;94.0;2.0;3.0;[Promise, Approximately, Shrink];[やく];[つづ.まる, つづ.める, つづま.やか];14;[Promise];[やく];[];[Thread, Pool];promesse, approximativement, environ
主;5;3.0;95.0;3.0;4.0;[Lord, Chief, Master, Main Thing, Principal];[しゅ, す, しゅう];[ぬし, おも, あるじ];4;[Master, Main];[しゅ];[おも, ぬし];[Master];seigneur, maître, principal
題;18;3.0;96.0;3.0;4.0;[Topic, Subject];[だい];[];13;[Topic];[だい];[];[Sun, Correct, Geoduck];sujet, thème, titre
下;3;1.0;97.0;4.0;5.0;[Below, Down, Descend, Give, Low, Inferior];[か, げ];[した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる];1;[Below, Down, Under, Beneath];[か, げ];[した, さ, くだ, お];[Ground, Toe];le dessous
首;9;2.0;98.0;3.0;3.0;[Neck, Counter For Songs And Poems];[しゅ];[くび];6;[Neck];[しゅ];[くび];[Neck];cou, tête, élément principal
百;6;1.0;163.0;4.0;5.0;[Hundred];[ひゃく, びゃく];[もも];4;[Hundred];[ひゃく];[もも];[Leaf, Sun];cent
意;13;3.0;99.0;3.0;4.0;[Idea, Mind, Heart, Taste, Thought, Desire, Care, Liking];[い];[];11;[Idea];[い];[];[Sound, Heart];idée, intention, volonté
法;8;4.0;100.0;2.0;3.0;[Method, Law, Rule, Principle, Model, System];[ほう, はっ, ほっ, ふらん];[のり];15;[Method, Law];[ほう];[];[Tsunami, Past];règle, loi, principe, méthode, moyen, doctrine
不;4;4.0;101.0;3.0;4.0;[Negative, Non-, Bad, Ugly, Clumsy];[ふ, ぶ];[];4;[Not];[ふ];[];[Not];préfixe de négation
来;7;2.0;102.0;4.0;5.0;[Come, Due, Next, Cause, Become];[らい, たい];[く.る, きた.る, きた.す, き.たす, き.たる, き, こ];5;[Come, Next];[らい];[く];[Ground, Rice];venir
作;7;2.0;103.0;3.0;4.0;[Make, Production, Prepare, Build];[さく, さ];[つく.る, つく.り, -づく.り];5;[Make];[さく, さ];[つく];[Leader, Key];créer, fabriquer, faire pousser
性;8;5.0;104.0;2.0;3.0;[Sex, Gender, Nature];[せい, しょう];[さが];14;[Gender, Nature, Sex];[せい, しょう];[];[Soul, Life];genre, nature, sexe, tempérament
的;8;4.0;105.0;2.0;;[Bulls Eye, Mark, Target, Object, Adjective Ending],;[てき];[まと];14;[Target, Al, ~Al, Like, ~Like];[てき];[まと];[White, Pool];suffixe pour former les adjectifs cible
要;9;4.0;106.0;2.0;3.0;[Need, Main Point, Essence, Pivot, Key To];[よう];[い.る, かなめ];9;[Need];[よう];[い, かなめ];[Helicopter, Woman];point essentiel, nécessité
用;5;2.0;107.0;3.0;4.0;[Utilize, Business, Service, Use, Employ];[よう];[もち.いる];3;[Task, Use];[よう];[もち];[Task];emploi, usage, utiliser
制;8;5.0;108.0;2.0;3.0;[System, Law, Rule];[せい];[];21;[Control, System];[せい];[];[Life, Towel, Knife];système, organisation, contrôle
治;8;4.0;109.0;2.0;3.0;[Reign, Be At Peace, Calm Down, Subdue, Quell, Govt, Cure, Heal, Rule, Conserve];[じ, ち];[おさ.める, おさ.まる, なお.る, なお.す];16;[Cure, Heal, Reign, Rule];[じ, ち];[なお];[Tsunami, Machine];gouverner, soigner, prévenir gouverner, arranger s'apaiser, guérir
度;9;3.0;110.0;3.0;4.0;[Degrees, Occurrence, Time, Counter For Occurrences, Consider, Attitude];[ど, と, たく];[たび, -た.い];9;[Degrees, Occurrence];[ど, たく];[たび];[Yurt, Stool];compteur pour les occurences
務;11;5.0;111.0;2.0;3.0;[Task, Duties];[む];[つと.める];21;[Task];[む];[つと];[Spear, Winter, Power];remplir une fonction, tenir un poste
強;11;2.0;112.0;3.0;4.0;[Strong];[きょう, ごう];[つよ.い, つよ.まる, つよ.める, し.いる, こわ.い];7;[Strong, Strength];[きょう];[つよ];[Bow, Private, Insect];fort, puissant, devenir fort
気;6;1.0;113.0;4.0;5.0;[Spirit, Mind, Air, Atmosphere, Mood];[き, け];[いき];4;[Energy, Spirit];[き, け];[いき];[Energy, Treasure];esprit, sentiment, souffle, énergie, air, atmosphère
小;3;1.0;114.0;4.0;5.0;[Little, Small];[しょう];[ちい.さい, こ-, お-, さ-];2;[Small, Little];[しょう];[ちい, こ, お];[Small];petit
成;6;4.0;116.0;2.0;3.0;[Turn Into, Become, Get, Grow, Elapse, Reach];[せい, じょう];[な.る, な.す, -な.す];11;[Become];[せい];[な];[Drunkard, Sword];devenir, se changer en, se faire
期;12;3.0;117.0;2.0;3.0;[Period, Time, Date, Term];[き, ご];[];12;[Period Of Time, Time Period];[き];[];[Crab, Moon];temps, période, terme
公;4;2.0;118.0;2.0;4.0;[Public, Prince, Official, Governmental];[こう, く];[おおやけ];3;[Public];[こう];[];[Fins, Private];public, officiel
持;9;3.0;119.0;3.0;4.0;[Hold, Have];[じ];[も.つ, -も.ち, も.てる];9;[Hold];[じ];[も];[Fingers, Temple];tenir à la main, avoir, posséder
野;11;2.0;120.0;3.0;4.0;[Plains, Field, Rustic, Civilian Life];[や, しょ];[の, の-];12;[Field];[や];[の];[Village, Beforehand];champ, campagne, plaine
協;8;4.0;121.0;2.0;2.0;[Co-, Cooperation];[きょう];[];14;[Cooperation];[きょう];[];[Cross, Power];coopération, harmonie
取;8;3.0;122.0;2.0;3.0;[Take, Fetch, Take Up];[しゅ];[と.る, と.り, と.り-, とり, -ど.り];16;[Take];[しゅ];[と];[Ear, Stool];prendre, saisir
都;11;3.0;123.0;3.0;3.0;[Metropolis, Capital, All, Everything];[と, つ];[みやこ];12;[Metropolis];[と, つ];[みやこ];[Someone, Building];capitale, métropôle
和;8;3.0;124.0;2.0;3.0;[Harmony, Japanese Style, Peace, Soften, Japan];[わ, お, か];[やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える];9;[Peace, Japanese Style];[わ, お];[なご, やわ];[Grain, Mouth];harmonie, paix, japonais doux, serein, calme adoucir, calmer
統;12;5.0;125.0;1.0;1.0;[Overall, Relationship, Ruling, Governing];[とう];[す.べる, ほび.る];22;[Unite];[とう];[す];[Thread, Allocate];gouverner, commander
以;5;4.0;126.0;3.0;4.0;[By Means Of, Because, In View Of, Compared With];[い];[もっ.て];7;[From, Since, Compared With, With, By Means Of];[い];[];[Lion, Drop, Person];par le moyen de
機;16;4.0;127.0;2.0;3.0;[Loom, Mechanism, Machine, Airplane, Opportunity, Potency, Efficacy, Occasion];[き];[はた];20;[Machine];[き];[はた];[Tree, Poop, Drunkard, Person];occasion, machine
平;5;3.0;128.0;2.0;3.0;[Even, Flat, Peace];[へい, びょう, ひょう];[たい.ら, -だいら, ひら, ひら-];4;[Flat, Peace];[へい, ひょう, びょう];[たいら, ひら];[Dry, Horns];plat, calme, uniforme
総;14;5.0;129.0;2.0;2.0;[General, Whole, All, Full, Total];[そう];[す.べて, すべ.て, ふさ];21;[Whole];[そう];[];[Thread, Public, Heart];généralité, globalité, totalité
加;5;4.0;130.0;2.0;3.0;[Add, Addition, Increase, Join, Include, Canada];[か];[くわ.える, くわ.わる];19;[Add];[か];[くわ];[Power, Mouth];ajouter, accroître
山;3;1.0;131.0;4.0;5.0;[Mountain];[さん, せん];[やま];1;[Mountain];[さん];[やま];[Mountain];montagne
思;9;2.0;132.0;3.0;4.0;[Think];[し];[おも.う, おもえら.く, おぼ.す];6;[Think, Thought];[し];[おも];[Rice Paddy, Heart];penser, croire
家;10;2.0;133.0;3.0;4.0;[House, Home, Family, Professional, Expert, Performer];[か, け];[いえ, や, うち];7;[House, Home];[か, け];[いえ, や, うち];[Roof, Pig];maison, foyer, famille
話;13;2.0;134.0;4.0;5.0;[Tale, Talk];[わ];[はな.す, はなし];8;[Talk, Speak];[わ];[はな, はなし];[Say, Tongue];parler, raconter, récit, histoire, propos
世;5;3.0;135.0;3.0;4.0;[Generation, World, Society, Public];[せい, せ, そう];[よ];4;[World, Generation];[せ, せい];[よ];[World];génération, époque, monde
受;8;3.0;136.0;2.0;3.0;[Accept, Undergo, Answer (phone), Take, Get, Catch, Receive];[じゅ];[う.ける, -う.け, う.かる];9;[Accept, Receive];[じゅ];[う];[Cleat, Forehead, Stool];recevoir, passer (examen)
